GermLayer,DifferentiationState,Stage,CellName,CellTypeID,Anatomy1,Anatomy2,Sulston,CellType,Generalized
3:Endodermal,3:Multipotent/Progenitor/Precursor,e,Z2,106,100-cell embryo,Repro,Z2,Gonad,Gonad
3:Endodermal,3:Multipotent/Progenitor/Precursor,e,Z3,106,100-cell embryo,Repro,Z3,Gonad,Gonad
4:Mesodermal,3:Multipotent/Progenitor/Precursor,e,MSpppaap,107,Somatic gonad precursor cell,,Z1,Gonad,Gonad
4:Mesodermal,3:Multipotent/Progenitor/Precursor,e,MSappaap,107,Somatic gonad precursor cell,,Z4,Gonad,Gonad
4:Mesodermal,4:Terminally differentiated,e,Dppppp,112,Embryonic body wall,Muscle,mu bod,Muscle cell,Muscle
4:Mesodermal,4:Terminally differentiated,e,Dppppa,112,Embryonic body wall,Muscle,mu bod,Muscle cell,Muscle
4:Mesodermal,4:Terminally differentiated,e,Dpppap,112,Embryonic body wall,Muscle,mu bod,Muscle cell,Muscle
4:Mesodermal,4:Terminally differentiated,e,Dpppaa,112,Embryonic body wall,Muscle,mu bod,Muscle cell,Muscle
4:Mesodermal,4:Terminally differentiated,e,Dppap,112,Embryonic body wall,Muscle,mu bod,Muscle cell,Muscle
4:Mesodermal,4:Terminally differentiated,e,Dppaa,112,Embryonic body wall,Muscle,mu bod,Muscle cell,Muscle
4:Mesodermal,4:Terminally differentiated,e,Dpapp,112,Embryonic body wall,Muscle,mu bod,Muscle cell,Muscle
4:Mesodermal,4:Terminally differentiated,e,Dpapa,112,Embryonic body wall,Muscle,mu bod,Muscle cell,Muscle
4:Mesodermal,4:Terminally differentiated,e,Dpaap,112,Embryonic body wall,Muscle,mu bod,Muscle cell,Muscle
4:Mesodermal,4:Terminally differentiated,e,Dpaaa,112,Embryonic body wall,Muscle,mu bod,Muscle cell,Muscle
4:Mesodermal,4:Terminally differentiated,e,Dapppp,112,Embryonic body wall,Muscle,mu bod,Muscle cell,Muscle
4:Mesodermal,4:Terminally differentiated,e,Dapppa,112,Embryonic body wall,Muscle,mu bod,Muscle cell,Muscle
4:Mesodermal,4:Terminally differentiated,e,Dappap,112,Embryonic body wall,Muscle,mu bod,Muscle cell,Muscle
4:Mesodermal,4:Terminally differentiated,e,Dappaa,112,Embryonic body wall,Muscle,mu bod,Muscle cell,Muscle
4:Mesodermal,4:Terminally differentiated,e,Dapap,112,Embryonic body wall,Muscle,mu bod,Muscle cell,Muscle
4:Mesodermal,4:Terminally differentiated,e,Dapaa,112,Embryonic body wall,Muscle,mu bod,Muscle cell,Muscle
4:Mesodermal,4:Terminally differentiated,e,Daapp,112,Embryonic body wall,Muscle,mu bod,Muscle cell,Muscle
4:Mesodermal,4:Terminally differentiated,e,Daapa,112,Embryonic body wall,Muscle,mu bod,Muscle cell,Muscle
4:Mesodermal,4:Terminally differentiated,e,Daaap,112,Embryonic body wall,Muscle,mu bod,Muscle cell,Muscle
4:Mesodermal,4:Terminally differentiated,e,Daaaa,112,Embryonic body wall,Muscle,mu bod,Muscle cell,Muscle
4:Mesodermal,4:Terminally differentiated,e,Cpppppv,112,Embryonic body wall,Muscle,mu bod,Muscle cell,Muscle
4:Mesodermal,4:Terminally differentiated,e,Cpppppd,112,Embryonic body wall,Muscle,mu bod,Muscle cell,Muscle
4:Mesodermal,4:Terminally differentiated,e,Cppppap,112,Embryonic body wall,Muscle,mu bod,Muscle cell,Muscle
4:Mesodermal,4:Terminally differentiated,e,Cppppaa,112,Embryonic body wall,Muscle,mu bod,Muscle cell,Muscle
4:Mesodermal,4:Terminally differentiated,e,Cpppapp,112,Embryonic body wall,Muscle,mu bod,Muscle cell,Muscle
4:Mesodermal,4:Terminally differentiated,e,Cpppapa,112,Embryonic body wall,Muscle,mu bod,Muscle cell,Muscle
4:Mesodermal,4:Terminally differentiated,e,Cpppaap,112,Embryonic body wall,Muscle,mu bod,Muscle cell,Muscle
4:Mesodermal,4:Terminally differentiated,e,Cpppaaa,112,Embryonic body wall,Muscle,mu bod,Muscle cell,Muscle
4:Mesodermal,4:Terminally differentiated,e,Cppappp,112,Embryonic body wall,Muscle,mu bod,Muscle cell,Muscle
4:Mesodermal,4:Terminally differentiated,e,Cppappa,112,Embryonic body wall,Muscle,mu bod,Muscle cell,Muscle
4:Mesodermal,4:Terminally differentiated,e,Cppapap,112,Embryonic body wall,Muscle,mu bod,Muscle cell,Muscle
4:Mesodermal,4:Terminally differentiated,e,Cppapaa,112,Embryonic body wall,Muscle,mu bod,Muscle cell,Muscle
4:Mesodermal,4:Terminally differentiated,e,Cppaapp,112,Embryonic body wall,Muscle,mu bod,Muscle cell,Muscle
4:Mesodermal,4:Terminally differentiated,e,Cppaapa,112,Embryonic body wall,Muscle,mu bod,Muscle cell,Muscle
4:Mesodermal,4:Terminally differentiated,e,Cppaaap,112,Embryonic body wall,Muscle,mu bod,Muscle cell,Muscle
4:Mesodermal,4:Terminally differentiated,e,Cppaaaa,112,Embryonic body wall,Muscle,mu bod,Muscle cell,Muscle
2:Ectodermal,4:Terminally differentiated,e,Cpappv,109,Tail,Dorsal hypodermis,hyp11,Hypodermal cell,Hypodermis
2:Ectodermal,4:Terminally differentiated,e,Cpappd,109,Embryonic large hypodermal syncytium,Hypoderm,hyp7,Hypodermal cell,Hypodermis
2:Ectodermal,4:Terminally differentiated,e,Cpapap,109,Embryonic large hypodermal syncytium,Hypoderm,hyp7,Hypodermal cell,Hypodermis
2:Ectodermal,4:Terminally differentiated,e,Cpapaa,109,Embryonic large hypodermal syncytium,Hypoderm,hyp7,Hypodermal cell,Hypodermis
2:Ectodermal,4:Terminally differentiated,e,Cpaapp,109,Embryonic large hypodermal syncytium,Hypoderm,hyp7,Hypodermal cell,Hypodermis
2:Ectodermal,4:Terminally differentiated,e,Cpaapa,109,Embryonic large hypodermal syncytium,Hypoderm,hyp7,Hypodermal cell,Hypodermis
2:Ectodermal,4:Terminally differentiated,e,Cpaaap,109,Embryonic large hypodermal syncytium,Hypoderm,hyp7,Hypodermal cell,Hypodermis
2:Ectodermal,4:Terminally differentiated,e,Cpaaaa,109,Embryonic large hypodermal syncytium,Hypoderm,hyp7,Hypodermal cell,Hypodermis
4:Mesodermal,4:Terminally differentiated,e,Cappppv,112,Embryonic body wall,Muscle,mu bod,Muscle cell,Muscle
4:Mesodermal,4:Terminally differentiated,e,Cappppd,112,Embryonic body wall,Muscle,mu bod,Muscle cell,Muscle
4:Mesodermal,4:Terminally differentiated,e,Capppap,112,Embryonic body wall,Muscle,mu bod,Muscle cell,Muscle
4:Mesodermal,4:Terminally differentiated,e,Capppaa,112,Embryonic body wall,Muscle,mu bod,Muscle cell,Muscle
4:Mesodermal,4:Terminally differentiated,e,Cappapp,112,Embryonic body wall,Muscle,mu bod,Muscle cell,Muscle
4:Mesodermal,4:Terminally differentiated,e,Cappapa,112,Embryonic body wall,Muscle,mu bod,Muscle cell,Muscle
4:Mesodermal,4:Terminally differentiated,e,Cappaap,112,Embryonic body wall,Muscle,mu bod,Muscle cell,Muscle
4:Mesodermal,4:Terminally differentiated,e,Cappaaa,112,Embryonic body wall,Muscle,mu bod,Muscle cell,Muscle
4:Mesodermal,4:Terminally differentiated,e,Capappp,112,Embryonic body wall,Muscle,mu bod,Muscle cell,Muscle
4:Mesodermal,4:Terminally differentiated,e,Capappa,112,Embryonic body wall,Muscle,mu bod,Muscle cell,Muscle
4:Mesodermal,4:Terminally differentiated,e,Capapap,112,Embryonic body wall,Muscle,mu bod,Muscle cell,Muscle
4:Mesodermal,4:Terminally differentiated,e,Capapaa,112,Embryonic body wall,Muscle,mu bod,Muscle cell,Muscle
4:Mesodermal,4:Terminally differentiated,e,Capaapp,112,Embryonic body wall,Muscle,mu bod,Muscle cell,Muscle
4:Mesodermal,4:Terminally differentiated,e,Capaapa,112,Embryonic body wall,Muscle,mu bod,Muscle cell,Muscle
4:Mesodermal,4:Terminally differentiated,e,Capaaap,112,Embryonic body wall,Muscle,mu bod,Muscle cell,Muscle
4:Mesodermal,4:Terminally differentiated,e,Capaaaa,112,Embryonic body wall,Muscle,mu bod,Muscle cell,Muscle
2:Ectodermal,4:Terminally differentiated,e,Caappv,110,Tail,Neuron,PVR,Interneuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,Caappd,109,Embryonic large hypodermal syncytium,Hypoderm,hyp7,Hypodermal cell,Hypodermis
2:Ectodermal,4:Terminally differentiated,e,Caapaa,110,Tail,Dorso-rectal ganglion,DVC,Interneuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,Caaapp,109,Embryonic large hypodermal syncytium,Hypoderm,hyp7,Hypodermal cell,Hypodermis
2:Ectodermal,4:Terminally differentiated,e,Caaapa,109,Embryonic large hypodermal syncytium,Hypoderm,hyp7,Hypodermal cell,Hypodermis
2:Ectodermal,4:Terminally differentiated,e,Caaaap,109,Embryonic large hypodermal syncytium,Hypoderm,hyp7,Hypodermal cell,Hypodermis
2:Ectodermal,4:Terminally differentiated,e,Caaaaa,109,Embryonic large hypodermal syncytium,Hypoderm,hyp7,Hypodermal cell,Hypodermis
4:Mesodermal,4:Terminally differentiated,e,MSpppppp,112,Embryonic body wall,Muscle,mu bod,Muscle cell,Muscle
4:Mesodermal,4:Terminally differentiated,e,MSpppppa,112,Embryonic body wall,Muscle,mu bod,Muscle cell,Muscle
4:Mesodermal,4:Terminally differentiated,e,MSppppap,112,Embryonic body wall,Muscle,mu bod,Muscle cell,Muscle
4:Mesodermal,4:Terminally differentiated,e,MSppppaa,112,Embryonic body wall,Muscle,mu bod,Muscle cell,Muscle
4:Mesodermal,4:Terminally differentiated,e,MSpppapp,112,Embryonic body wall,Muscle,mu bod,Muscle cell,Muscle
4:Mesodermal,4:Terminally differentiated,e,MSppappp,112,Embryonic body wall,Muscle,mu bod,Muscle cell,Muscle
4:Mesodermal,4:Terminally differentiated,e,MSppappa,112,Embryonic body wall,Muscle,mu bod,Muscle cell,Muscle
4:Mesodermal,4:Terminally differentiated,e,MSppapap,112,Embryonic body wall,Muscle,mu bod,Muscle cell,Muscle
4:Mesodermal,4:Terminally differentiated,e,MSppapaap,105,Embryo,Celom,ccPR,Coelomocyte,Coelomocyte
4:Mesodermal,4:Terminally differentiated,e,MSppapaaa,105,Embryo,Celom,ccAR,Coelomocyte,Coelomocyte
4:Mesodermal,4:Terminally differentiated,e,MSppaaap,112,Embryonic body wall,Muscle,mu bod,Muscle cell,Muscle
4:Mesodermal,4:Terminally differentiated,e,MSppaapp,112,Stomatointestinal muscle,Muscle,mu IntR,Muscle cell,Muscle
4:Mesodermal,4:Terminally differentiated,e,MSppaaaav,112,Pharyngeal isthmus,Pseudocoelom,GLRVR,Other,Other
4:Mesodermal,4:Terminally differentiated,e,MSppaaaad,112,Pharyngeal isthmus,Pseudocoelom,GLRR,Other,Other
4:Mesodermal,4:Terminally differentiated,e,MSpappppp,112,Embryonic body wall,Muscle,mu bod,Muscle cell,Muscle
4:Mesodermal,4:Terminally differentiated,e,MSpappppa,112,Embryonic body wall,Muscle,mu bod,Muscle cell,Muscle
4:Mesodermal,4:Terminally differentiated,e,MSpapppap,112,Embryonic body wall,Muscle,mu bod,Muscle cell,Muscle
4:Mesodermal,4:Terminally differentiated,e,MSpapppaa,112,Embryonic body wall,Muscle,mu bod,Muscle cell,Muscle
4:Mesodermal,4:Terminally differentiated,e,MSpappap,112,Embryonic body wall,Muscle,mu bod,Muscle cell,Muscle
4:Mesodermal,4:Terminally differentiated,e,MSpappaa,112,Embryonic body wall,Muscle,mu bod,Muscle cell,Muscle
4:Mesodermal,4:Terminally differentiated,e,MSpapappp,129,Pharyngo-intestinal junction,Second pharyngeal valve ring,vpi2DR,Valve cell,Other
4:Mesodermal,4:Terminally differentiated,e,MSpapappa,112,Pharynx,Muscle,m6VR,Muscle cell,Pharynx
4:Mesodermal,4:Terminally differentiated,e,MSpapapaa,108,Pharynx,Gland,g2R,Glandular cell,Pharynx
4:Mesodermal,4:Terminally differentiated,e,MSpapaapp,112,Pharynx,Muscle,m7VR,Muscle cell,Pharynx
4:Mesodermal,4:Terminally differentiated,e,MSpapaapaa,108,Pharynx,Gland,g1AR,Glandular cell,Pharynx
4:Mesodermal,4:Terminally differentiated,e,MSpapaaap,112,Pharynx,Muscle,m5VR,Muscle cell,Pharynx
4:Mesodermal,4:Terminally differentiated,e,MSpapaaaa,112,Pharynx,Muscle,m4VR,Muscle cell,Pharynx
4:Mesodermal,4:Terminally differentiated,e,MSpaapapp,129,Pharyngo-intestinal junction,First pharyngeal valve ring,vpi1,Valve cell,Other
4:Mesodermal,4:Terminally differentiated,e,MSpaapapa,117,Pharynx,Marginal,mc3DR,Pharyngeal marginal cell,Pharynx
2:Ectodermal,4:Terminally differentiated,e,MSpaapaaa,114,Pharynx,Neuron,M1,Neuron,Neuron
4:Mesodermal,4:Terminally differentiated,e,MSpaaappp,112,Pharynx,Muscle,m6D,Muscle cell,Pharynx
4:Mesodermal,4:Terminally differentiated,e,MSpaaappa,112,Pharynx,Muscle,m5DR,Muscle cell,Pharynx
2:Ectodermal,4:Terminally differentiated,e,MSpaaapap,114,Pharynx,Neuron,M5,Neuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,MSpaaapaa,110,Pharynx,Posterior bulb,I6,Interneuron,Neuron
4:Mesodermal,4:Terminally differentiated,e,MSpaaaapp,112,Pharynx,Muscle,m4DR,Muscle cell,Pharynx
4:Mesodermal,4:Terminally differentiated,e,MSpaaaapa,112,Pharynx,Muscle,m3DR,Muscle cell,Pharynx
2:Ectodermal,4:Terminally differentiated,e,MSpaaaaaa,114,Pharynx,Neuron,M4,Neuron,Neuron
4:Mesodermal,4:Terminally differentiated,e,MSappppp,112,Embryonic body wall,Muscle,mu bod,Muscle cell,Muscle
4:Mesodermal,4:Terminally differentiated,e,MSappppa,112,Embryonic body wall,Muscle,mu bod,Muscle cell,Muscle
4:Mesodermal,4:Terminally differentiated,e,MSapppap,112,Embryonic body wall,Muscle,mu bod,Muscle cell,Muscle
4:Mesodermal,4:Terminally differentiated,e,MSapppaa,112,Embryonic body wall,Muscle,mu bod,Muscle cell,Muscle
4:Mesodermal,4:Terminally differentiated,e,MSappapp,112,Embryonic body wall,Muscle,mu bod,Muscle cell,Muscle
4:Mesodermal,4:Terminally differentiated,e,MSappaaa,113,Mesoderm,Other,hmc,Mesodermal cell,Other
4:Mesodermal,4:Terminally differentiated,e,MSapappp,112,Embryonic body wall,Muscle,mu bod,Muscle cell,Muscle
4:Mesodermal,4:Terminally differentiated,e,MSapappa,112,Embryonic body wall,Muscle,mu bod,Muscle cell,Muscle
4:Mesodermal,4:Terminally differentiated,e,MSapapap,112,Embryonic body wall,Muscle,mu bod,Muscle cell,Muscle
4:Mesodermal,4:Terminally differentiated,e,MSapapaap,105,Embryo,Celom,ccPL,Coelomocyte,Coelomocyte
4:Mesodermal,4:Terminally differentiated,e,MSapapaaa,105,Embryo,Celom,ccAL,Coelomocyte,Coelomocyte
4:Mesodermal,3:Multipotent/Progenitor/Precursor,e,MSapaapp,13,Embryo,Postembryonic mesoblast,M,Blast Cell,Blast Cell
4:Mesodermal,4:Terminally differentiated,e,MSapaaap,112,Embryonic body wall,Muscle,mu bod,Muscle cell,Muscle
4:Mesodermal,4:Terminally differentiated,e,MSapaaaav,112,Pharyngeal isthmus,Pseudocoelom,GLRVL,Other,Other
4:Mesodermal,4:Terminally differentiated,e,MSapaaaad,112,Pharyngeal isthmus,Pseudocoelom,GLRL,Other,Other
4:Mesodermal,4:Terminally differentiated,e,MSaappppp,112,Embryonic body wall,Muscle,mu bod,Muscle cell,Muscle
4:Mesodermal,4:Terminally differentiated,e,MSaappppa,112,Embryonic body wall,Muscle,mu bod,Muscle cell,Muscle
4:Mesodermal,4:Terminally differentiated,e,MSaapppap,112,Embryonic body wall,Muscle,mu bod,Muscle cell,Muscle
4:Mesodermal,4:Terminally differentiated,e,MSaapppaa,112,Embryonic body wall,Muscle,mu bod,Muscle cell,Muscle
4:Mesodermal,4:Terminally differentiated,e,MSaappap,129,Pharyngo-intestinal junction,Third pharyngeal valve ring,vpi3V,Valve cell,Other
4:Mesodermal,4:Terminally differentiated,e,MSaappaa,129,Pharyngo-intestinal junction,Second pharyngeal valve ring,vpi2V,Valve cell,Other
4:Mesodermal,4:Terminally differentiated,e,MSaapappp,129,Pharyngo-intestinal junction,Second pharyngeal valve ring,vpi2DL,Valve cell,Other
4:Mesodermal,4:Terminally differentiated,e,MSaapappa,112,Pharynx,Muscle,m6VL,Muscle cell,Pharynx
4:Mesodermal,4:Terminally differentiated,e,MSaapapaa,108,Pharynx,Gland,g2L,Glandular cell,Pharynx
4:Mesodermal,4:Terminally differentiated,e,MSaapaapp,112,Pharynx,Muscle,m7VL,Muscle cell,Pharynx
4:Mesodermal,4:Terminally differentiated,e,MSaapaapaa,108,Pharynx,Gland,g1AL,Glandular cell,Pharynx
4:Mesodermal,4:Terminally differentiated,e,MSaapaaap,112,Pharynx,Muscle,m5VL,Muscle cell,Pharynx
4:Mesodermal,4:Terminally differentiated,e,MSaapaaaa,112,Pharynx,Muscle,m4VL,Muscle cell,Pharynx
4:Mesodermal,4:Terminally differentiated,e,MSaaappp,129,Pharyngo-intestinal junction,Third pharyngeal valve ring,vpi3D,Valve cell,Other
4:Mesodermal,4:Terminally differentiated,e,MSaaapapp,112,Pharynx,Muscle,m8,Muscle cell,Muscle
4:Mesodermal,4:Terminally differentiated,e,MSaaapapa,117,Pharynx,Marginal,mc3DL,Pharyngeal marginal cell,Pharynx
4:Mesodermal,4:Terminally differentiated,e,MSaaapaap,112,Pharynx,Muscle,m4L,Muscle cell,Pharynx
4:Mesodermal,4:Terminally differentiated,e,MSaaapaaa,112,Pharynx,Muscle,m3DL,Muscle cell,Pharynx
4:Mesodermal,4:Terminally differentiated,e,MSaaaappp,112,Pharynx,Muscle,mD7,Muscle cell,Pharynx
4:Mesodermal,4:Terminally differentiated,e,MSaaaapap,112,Pharynx,Muscle,m5DL,Muscle cell,Pharynx
2:Ectodermal,4:Terminally differentiated,e,MSaaaapaa,110,Pharynx,Neuron,I4,Interneuron,Neuron
4:Mesodermal,4:Terminally differentiated,e,MSaaaaapp,112,Pharynx,Muscle,m4DL,Muscle cell,Pharynx
4:Mesodermal,4:Terminally differentiated,e,MSaaaaapap,108,Pharynx,Gland,g1P,Glandular cell,Pharynx
2:Ectodermal,4:Terminally differentiated,e,MSaaaaapaa,110,Pharynx,Anterior bulb,I3,Interneuron,Neuron
4:Mesodermal,4:Terminally differentiated,e,MSaaaaaar,112,Pharyngeal isthmus,Pseudocoelom,GLRDR,Other,Other
4:Mesodermal,4:Terminally differentiated,e,MSaaaaaal,112,Pharyngeal isthmus,Pseudocoelom,GLRDL,Other,Other
3:Endodermal,4:Terminally differentiated,e,Eprpppp,111,Intestine,Intestine,int9Rp,Intestinal cell,Intestine
3:Endodermal,4:Terminally differentiated,e,Eprpppa,111,Intestine,Intestine,int9Ra,Intestinal cell,Intestine
3:Endodermal,4:Terminally differentiated,e,Eprppap,111,Intestine,Intestine,int8Rp,Intestinal cell,Intestine
3:Endodermal,4:Terminally differentiated,e,Eprppaa,111,Intestine,Intestine,int8Ra,Intestinal cell,Intestine
3:Endodermal,4:Terminally differentiated,e,Eprpap,111,Intestine,Intestine,int7Rp,Intestinal cell,Intestine
3:Endodermal,4:Terminally differentiated,e,Eprpaa,111,Intestine,Intestine,int7Ra,Intestinal cell,Intestine
3:Endodermal,4:Terminally differentiated,e,Eprapp,111,Intestine,Intestine,int6Rp,Intestinal cell,Intestine
3:Endodermal,4:Terminally differentiated,e,Eprapa,111,Intestine,Intestine,int6Ra,Intestinal cell,Intestine
3:Endodermal,4:Terminally differentiated,e,Epraap,111,Intestine,Intestine,int4Dp,Intestinal cell,Intestine
3:Endodermal,4:Terminally differentiated,e,Epraaa,111,Intestine,Intestine,int4Da,Intestinal cell,Intestine
3:Endodermal,4:Terminally differentiated,e,Eplpppp,111,Intestine,Intestine,int9Lp,Intestinal cell,Intestine
3:Endodermal,4:Terminally differentiated,e,Eplpppa,111,Intestine,Intestine,int9La,Intestinal cell,Intestine
3:Endodermal,4:Terminally differentiated,e,Eplppap,111,Intestine,Intestine,int8Lp,Intestinal cell,Intestine
3:Endodermal,4:Terminally differentiated,e,Eplppaa,111,Intestine,Intestine,int8La,Intestinal cell,Intestine
3:Endodermal,4:Terminally differentiated,e,Eplpap,111,Intestine,Intestine,int7Lp,Intestinal cell,Intestine
3:Endodermal,4:Terminally differentiated,e,Eplpaa,111,Intestine,Intestine,int7La,Intestinal cell,Intestine
3:Endodermal,4:Terminally differentiated,e,Eplapp,111,Intestine,Intestine,int6Lp,Intestinal cell,Intestine
3:Endodermal,4:Terminally differentiated,e,Eplapa,111,Intestine,Intestine,int6La,Intestinal cell,Intestine
3:Endodermal,4:Terminally differentiated,e,Eplaap,111,Intestine,Intestine,int4Vp,Intestinal cell,Intestine
3:Endodermal,4:Terminally differentiated,e,Eplaaa,111,Intestine,Intestine,int4Va,Intestinal cell,Intestine
3:Endodermal,4:Terminally differentiated,e,Earppp,111,Intestine,Intestine,int5Rp,Intestinal cell,Intestine
3:Endodermal,4:Terminally differentiated,e,Earppa,111,Intestine,Intestine,int5Ra,Intestinal cell,Intestine
3:Endodermal,4:Terminally differentiated,e,Earpa,111,Intestine,Intestine,int2D,Intestinal cell,Intestine
3:Endodermal,4:Terminally differentiated,e,Earapp,111,Intestine,Intestine,int3Dp,Intestinal cell,Intestine
3:Endodermal,4:Terminally differentiated,e,Earapa,111,Intestine,Intestine,int3Da,Intestinal cell,Intestine
3:Endodermal,4:Terminally differentiated,e,Earaav,111,Intestine,Intestine,int1VR,Intestinal cell,Intestine
3:Endodermal,4:Terminally differentiated,e,Earaad,111,Intestine,Intestine,int1DR,Intestinal cell,Intestine
3:Endodermal,4:Terminally differentiated,e,Ealppp,111,Intestine,Intestine,int5Lp,Intestinal cell,Intestine
3:Endodermal,4:Terminally differentiated,e,Ealppa,111,Intestine,Intestine,int5La,Intestinal cell,Intestine
3:Endodermal,4:Terminally differentiated,e,Ealpa,111,Intestine,Intestine,int2V,Intestinal cell,Intestine
3:Endodermal,4:Terminally differentiated,e,Ealapp,111,Intestine,Intestine,int3Vp,Intestinal cell,Intestine
3:Endodermal,4:Terminally differentiated,e,Ealapa,111,Intestine,Intestine,int3Va,Intestinal cell,Intestine
3:Endodermal,4:Terminally differentiated,e,Ealaav,111,Intestine,Intestine,int1VL,Intestinal cell,Intestine
3:Endodermal,4:Terminally differentiated,e,Ealaad,111,Intestine,Intestine,int1DL,Intestinal cell,Intestine
2:Ectodermal,4:Terminally differentiated,e,ABprppppppp,109,Tail,Ventral hypodermis,hyp10,Hypodermal cell,Hypodermis
2:Ectodermal,3:Multipotent/Progenitor/Precursor,e,ABprppppppa,126,Tail,Other,tail spike,Tail spike scaffold cell,Hypodermis
4:Mesodermal,4:Terminally differentiated,e,ABprpppppaa,112,Embryonic body wall,Muscle,mu bod,Muscle cell,Muscle
4:Mesodermal,4:Terminally differentiated,e,ABprpppppap,112,Sphincter muscle - rectal valve,Rectal,mu sph,Muscle cell,Muscle
2:Ectodermal,4:Terminally differentiated,e,ABprppppapp,110,Head,Nerve ring,DVA,Interneuron,Neuron
3:Endodermal,4:Terminally differentiated,e,ABprppppapa,120,Tail,Rectal,B,Rectal cell,Other
2:Ectodermal,4:Terminally differentiated,e,ABprppppaap,104,Tail,Rectal,rect VR,Gland cell,Other
2:Ectodermal,4:Terminally differentiated,e,ABplpappppp,104,Tail,Rectal,rect D,Gland cell,Other
2:Ectodermal,4:Terminally differentiated,e,ABprppppaaa,110,Body,Ventral nerve cord,PVPR,Interneuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABprpppapap,109,Tail,Ventral hypodermis,hyp9,Hypodermal cell,Hypodermis
2:Ectodermal,4:Terminally differentiated,e,ABprpppapaa,118,Tail,Sheath,PHshR,Phasmid sheath cell,Other
2:Ectodermal,4:Terminally differentiated,e,ABprpppaapp,114,Body,Lumbar ganglia,PHAR,Neuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABprpppaapap,110,Body,Lumbar ganglia,LUAR,Interneuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABprpppaapaa,110,Body,Lumbar ganglia,PVCR,Interneuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABprpppaaap,114,Body,Ventral nerve cord,DA7,Neuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABprpppaaaa,114,Body,Ventral nerve cord,PDA,Neuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABprppapppp,114,Body,Ventral nerve cord,DD6,Neuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABprppapppa,114,Body,Ventral nerve cord,DD4,Neuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABprppappap,114,Body,Ventral nerve cord,DD2,Neuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABprppappaa,110,Head,Nerve ring,RIGR,Interneuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABprppapapp,114,Body,Ventral nerve cord,DA5,Neuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABprppapapa,114,Body,Ventral nerve cord,DA3,Neuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABprppapaap,114,Body,Ventral nerve cord,DA1,Neuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABprppapaaap,110,Head,Nerve ring,RIFR,Interneuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABprppapaaaa,110,Head,Nerve ring,SABVR,Interneuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABprppaappp,114,Body,Ventral nerve cord,DB7,Neuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABprppaappa,110,Head,Amphid sensillum,AIAR,Interneuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABprppaapap,114,Head,Nerve ring,RIMR,Neuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABprppaaaapp,110,Head,Nerve ring,RICR,Interneuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABprppaaaaa,114,Head,Ventral ganglion,SIBDR,Neuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABprpappppp,104,Intestino-rectal junction,Valve,virL,Epithelial cell,Epithelial
2:Ectodermal,4:Terminally differentiated,e,ABprpappppa,104,Intestino-rectal junction,Valve,virR,Epithelial cell,Epithelial
2:Ectodermal,4:Terminally differentiated,e,ABprpapppap,114,Body,Ventral nerve cord,AVG,Neuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABprpapppaa,110,Head,Nerve ring,RIR,Interneuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABprpappapp,114,Body,Ventral nerve cord,DB4,Neuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABprpappapa,110,Head,Nerve ring,RIS,Interneuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABprpappaap,110,Head,Ventral ganglion,AVL,Interneuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABprpappaaa,110,Head,Nerve ring,RIH,Interneuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABprpapappp,114,Body,Ventral nerve cord,DA8,Neuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABprpapappa,114,Head,Nerve ring,SIAVR,Neuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABprpapapaa,131,Body,Gland,Exc gl R,Gland cell,Excretory
2:Ectodermal,4:Terminally differentiated,e,ABplpapapaa,131,Body,Gland,Exc gl L,Gland cell,Excretory
2:Ectodermal,4:Terminally differentiated,e,ABplpaaaapa,131,Body,Gland,Exc duct,Excretory Duct cell,Excretory
